Paper_Number,Type_of_salmon,Category,ESB,ESP,Hatchery_fish,Sentence_about_service,Service_in_my_words,Type_of_interaction,CICES_section1,CICES_division1,CICES_group1,CICES_class1,CICES_code1,CICES_section2,CICES_division2,CICES_group2,CICES_class2,CICES_code2,CICES_section3,CICES_division3,CICES_group3,CICES_class3,CICES_code3,EE_domain1,EE_code1,EE_domain2,EE_code2,EE_domain3,EE_code3
1,sockeye,eco,stream-resident fish,salmon eggs and carcasses,No,"""stream-resident fish directly consume the eggs and carcasses of salmon"" (1951)",provision for stream fish,Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,sockeye,eco,benthic macroinvertebrates,salmon carcasses,No,"""Secondly, a wide variety of benthic macroinvertebrates, including mayflies (Ephemeroptera), stoneflies (Plecoptera), caddisflies (Tricoptera) and true flies (Diptera), colonize carcasses within the stream and feed off of them directly (Wipfli et al., 1998; Reimchen et al., 2003; Winder et al., 2005)."" (1951)",provision for stream macros,Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,sockeye,eco,blowflies,salmon carcasses,No,"""terrestrial blowflies (Diptera: Calliphoridae) will lay their eggs on carcasses stranded on gravel bars or the shoreline, with an average of 35 000 larval blowflies per sockeye salmon carcass typically devouring it within a week (Meehan, Seminet-Reneau & Quinn, 2005). "" (1951)",provision for bugs,Direct,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions","Lifecycle maintenance, habitat and gene pool protection",Maintaining nursery populations and habitats (Including gene pool protection),2.2.2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,sockeye,eco,stream-resident fish,blowflies via salmon carcasses,No,"""terrestrial blowflies (Diptera: Calliphoridae) will lay their eggs on carcasses stranded on gravel bars or the shoreline, with an average of 35 000 larval blowflies per sockeye salmon carcass typically devouring it within a week (Meehan, Seminet-Reneau & Quinn, 2005). Some of those larval blowflies are then washed into the streams and rivers because of floods or disturbance by bears, where they serve as food resources for fish (Cederholm et al., 1989; Meehan et al., 2005)."" (1951)",provision for stream fish,Indirect,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions","Lifecycle maintenance, habitat and gene pool protection",Maintaining nursery populations and habitats (Including gene pool protection),2.2.2.3,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,sockeye,eco,stream-resident fish,benthic inverts via primary productivity via nutrients from salmon carcasses,No,"""Thirdly, nutrients from decomposing carcasses can increase stream primary productivity, subsequently leading to a greater biomass of the benthic invertebrates that fish feed upon (Wipfli et al., 1998; Minakawa & Gara, 1999; Chaloner & Wipfli, 2002). "" (1951)",provision for stream fish,Indirect,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,sockeye,eco,stream-resident fish,benthic inverts via spawning salmon,No,"""Fourthly, nest-digging by adult salmon dislodges benthic invertebrates that are subsequently consumed by fish (Peterson & Foote, 2000)."" (1951)",provision for stream fish,Indirect,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,sockeye,eco,Rainbow trout,"salmon eggs and salmon, blowflies via salmon carcass",No,"""Ration size and energy intake increased by 480–620% for both species after salmon arrived...[R]ainbow trout switched to consuming salmon eggs, salmon flesh and blowflies that colonized salmon carcasses"" (1944)",provision for stream fish,Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,sockeye,eco,Arctic grayling,benthic inverts via spawning salmon,No,"""Ration size and energy intake increased by 480–620% for both species after salmon arrived...[G]rayling primarily ate more benthic invertebrates that were presumably made available because of physical disturbances by spawning salmon."" (1944)",provision for stream fish,Indirect,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,anadromous,eco,"Periphyton, macroinvertebrates, stream-resident fish",anadromous salmon,No,"""Because adult salmon gain >95% of their biomass at sea, the nutrients and carbon transported upstream in adults represent substantial subsidies that contribute to the production of periphyton, macroinvertebrates and fish (e.g. Kline et al., 1990; Bilby et al., 1998; Wipfli, Hudson & Caouette, 1998; Chaloner & Wipfli, 2002; Wipfli et al., 2003; Mitchell & Lamberti, 2005)."" (1945)",provision for stream organisms,Direct,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,NA,NA,NA,NA,NA,NA
1,anadromous,eco,Riparian vegetation,salmon carcasses via bears,No,"""Largely through the action of bears (Ursus arctos Linnaeus, U. americanus Pallas), salmon carcasses are transported into riparian areas where their nutrients ultimately make their way into vegetation (Ben-David, Hanley & Schell, 1998; Hilderbrand et al., 1999; Helfield & Naiman, 2006). "" (1945)",provision for stream vegetation,Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
