Paper#,Citation,No.citations,About,Focus,Location,Abstract
1,"Anderson, J., Faulds, P., Atlas, W., & Quinn, T. (2013). Reproductive success of captively bred and naturally spawned Chinook salmon colonizing newly accessible habitat. Evolutionary Applications, 6(2), 165-179.",59,"Comparison of reproductive success between hatchery and naturally producing Chinook in Cedar River, WA.",Neutral,"Washington, USA","Captively reared animals can provide an immediate demographic boost in reintroduction programs, but may also reduce the fitness of colonizing populations. Construction of a fish passage facility at Landsburg Diversion Dam on the Cedar River, WA, USA, provided a unique opportunity to explore this trade-off. We thoroughly sampled adult Chinook salmon (Oncorhynchus tshawytscha) at the onset of colonization (2003–2009), constructed a pedigree from genotypes at 10 microsatellite loci, and calculated reproductive success (RS) as the total number of returning adult offspring. Hatchery males were consistently but not significantly less productive than naturally spawned males (range in relative RS: 0.70–0.90), but the pattern for females varied between years. The sex ratio was heavily biased toward males; therefore, inclusion of the hatchery males increased the risk of a genetic fitness cost with little demographic benefit. Measurements of natural selection indicated that larger salmon had higher RS than smaller fish. Fish that arrived early to the spawning grounds tended to be more productive than later fish, although in some years, RS was maximized at intermediate dates. Our results underscore the importance of natural and sexual selection in promoting adaptation during reintroductions."
2,"Nehlsen, W, Williams, Je, Lichatowich, Ja, Nehlsen, Willa, Williams, Jack E, & Lichatowich, James A. (1991). Pacific Salmon at the Crossroads: Stocks at Risk from California, Oregon, Idaho, and Washington. Fisheries., 16(2), 4-21.",654,Authors assess state of Pacific salmon stocks and identify stressors contributing to their depleted state.,Risk,"Washington, Oregon, Idaho, and California, USA","The American Fisheries Society herein provides a list of depleted Pacific salmon, steelhead, and sea-run cutthroat stocks from California, Oregon, Idaho, and Washington, to accompany the list of rare inland fishes reported by Williams et al. (1989). The list includes 214 native naturally-spawning stocks: 101 at high risk of extinction, 58 at moderate risk of extinction, 54 of special concern, and one classified as threatened under the Endangered Species Act of 1973 and as endangered by the state of California. The decline in native salmon, steelhead, and sea-run cutthroat populations has resulted from habitat loss and damage, and inadequate passage and flows caused by hydropower, agriculture, logging, and other developments; overfishing, primarily of weaker stocks in mixed-stock fisheries; and negative interactions with other fishes, including nonnative hatchery salmon and steelhead. While some attempts at remedying these threats have been made, they have not been enough to prevent the broad decline of stocks along the West Coast. A new paradigm that advances habitat restoration and ecosystem function rather than hatchery production is needed for many of these stocks to survive and prosper into the next century."
3,"Hilborn, R. (1992). Hatcheries and the Future of Salmon in the Northwest. Fisheries., 17(1), 5-8.",96,Think piece in which author argues that hatcheries pose a long term threat to salmonid survival in the region.,Risk,"Pacific Northwest, USA","Artificial propagation is often seen as a way to maintain and increase or augment fish stocks that have suffered from habitat loss and overexploitation. Large-scale hatchery programs for salmonids in the Pacific Northwest have largely failed to provide the anticipated benefits; rather than benefiting the salmon populations, these programs may pose the greatest single threat to the long-term maintenance of salmonids. Fisheries scientists, by promoting hatchery technology and giving hatchery tours, have misled the public into thinking that hatcheries are necessary and can truly compensate for habitat loss. I argue that hatchery programs that attempt to add additional fish to existing healthy wild stocks are ill advised and highly dangerous."
4,"Huntington, C, Nehlsen, W, Bowers, J, Huntington, Charles, Nehlsen, Willa, & Bowers, Jon. (1996). A Survey of Healthy Native Stocks of Anadromous Salmonids in the Pacific Northwest and California. Fisheries., 21(3), 6-14.",45,Survey and spatial analysis to identify and describe health native stocks of anadromous salmonids.,Neutral,"Pacific Northwest and California, USA","This report summarizes a survey of healthy native stocks of anadromous salmonids in the Pacific Northwest and California. We used a questionnaire approach combined with spatial analysis to describe the status and distribution of stocks considered to be in relatively good condition. These stocks now constitute a small fraction of the region's historic anadromous salmonid resource but are critical to maintaining current resource productivity. Several agencies have developed, or are in the process of developing, computerized databases that will help organize predominantly quantitative data on native stocks of anadromous salmonids. Our survey supplements those efforts by summarizing some of the knowledge of biologists familiar with the stocks and by making status assessments that at times go beyond conservative analyses of quantitative data. The survey identified 99 healthy native wild stocks of salmon and steelhead that biologists consider to be at least one-third as abundant as would be expected without human impacts, including 20 considered at least two-thirds as abundant. More than three-quarters of these stocks are fall chinook, chum salmon, or winter steelhead in Puget Sound or coastal watersheds of Oregon or Washington. Fewer healthy populations remain of summer steelhead and coho, pink, and sockeye salmon and spring or summer chinook. We suggest that healthy stocks provide unique opportunities for conservation and research that are at least as important to the future of the region's anadromous salmonids as those associated with at-risk stocks."
5,"Berejikian, BA, Tezak, EP, Schroder, SL, Knudsen, CM, & Hard, JJ. (1997). Reproductive behavioral interactions between wild and captively reared coho salmon (Oncorhynchus kisutch). ICES Journal of Marine Science., 54(6), 1040-1050.",58,Experimental comparison of mating behavior in wild vs. captive reared coho.,Benefit,"Washington, USA","Captive rearing is an evolving strategy for restoring depleted salmon populations; it involves capturing wild juvenile salmon from natural streams; rearing them in captivity to adulthood, and then releasing them as adults back into their natal streams to spawn naturally. The conservation benefit of captive rearing is that it bypasses the typically high smolt-to-adult mortality experienced by wild populations, but its success as a restoration strategy depends upon the ability of captively reared salmon to spawn and reproduce in natural streams. In an experimental channel, wild males dominated captively reared males of similar size in 86% of spawning events. Both wild and captively reared females attacked captively reared males more frequently than wild males, indicating a preference for wild over captively reared males, although the interplay between male dominance and Female mate choice was unclear. Wild females established nesting territories earlier and constructed more nests per individual than captively reared females of similar size, suggesting a competitive advantage for wild females. Nevertheless, captively reared coho salmon demonstrated the full range of behaviors shown by wild coho salmon of both sexes and the ability to spawn naturally. (C) 1997 International Council for the Exploration of the Sea."
6,"Pearsons, TN, Hopley, CW, Pearsons, Todd N, & Hopley, Charles W. (1999). A Practical Approach for Assessing Ecological Risks Associated with Fish Stocking Programs. Fisheries., 24(9), 16-23.",50,Authors propose an ecological risk assessment tool to help hatchery managers determine risk to non-target taxa.,Risk,"Oregon, USA","As wild fish populations continue to decline, fisheries managers are increasingly concerned about how hatchery operations might be contributing to declines of highly valued wild populations. Ecological risk assessments can provide decision makers with critical information about potential effects of stocking. In this paper we describe a practical approach for assessing ecological risks to select nontarget taxa (NTT) associated with fish stocking programs. This approach requires the completion of five tasks: (1) Determine acceptable impacts to NTT (e.g., impact of 10% to a species distribution, abundance, or size structure); (2) determine potential spatial-temporal overlap of NTT life stages with target taxon; (3) determine potential strong ecological interactions; (4) determine ecological risk; and (5) determine scientific uncertainty of ecological risk assessment. These tasks are accomplished by analyzing information gathered from scientists, managers, and policy makers. The result of the assessment is a listing of the ecological risks and associated uncertainties of failing to meet a stated objective for a variety of NTT. We also describe a decision matrix that prescribes various levels of uncertainty resolution, risk minimization strategies, risk containment monitoring, and stocking proposal implementation. Prescriptions reflect the amount of ecological risk and scientific uncertainty. Application of ecological risk assessment concepts to hatchery stocking decisions allows for a balanced approach when evaluating the benefits of hatchery stocking relative to ecological costs to nontarget populations and the economic costs of risk management."
7,"Pearsons, T. (2002). Chronology of Ecological Interactions Associated with the Life-span of Salmon Supplementation Programs. Fisheries., 27(12), 10-15.",16,Authors suggest a framework for assessing and containing risks from salmon supplementation.,Risk,"Washington, USA","A temporal context to assess and contain ecological risks associated with salmon supplementation is described in this article. A successful supplementation program has at least four stages: Baseline, Broodstock, Building, and Boundary. These stages can be characterized by the number of target fish (e.g, the species supplemented) that spawn in the wild and hatchery. The type and strength of ecological interactions differ during the four stages of supplementation dynamics. During the Baseline stage, interactions between the naturally produced target species and non-target taxa (NTT) are likely to be relatively low because of the depressed abundance of the target species. During the Broodstock collection phase, interactions between naturally produced target fish and NTT are reduced but interactions between hatchery produced target fish and NTT are potentially high. Interactions with NTT are likely to be highest during the Building stage because of the high number of hatchery produced target fish released and the increased number of target fish produced in the natural environment. During the Boundary stage, only interactions between naturally produced target fish and NTT occur, but these interactions are likely to be more frequent than during the Baseline stage, particularly if the environmental capacity for NTT has not been improved in proportion to the increase in the target species. The temporal context described indicates that risk assessment and containment should address each of the stages of supplementation dynamics individually and collectively, the time-span of which could be between 10 and 40 years."
8,"Laikre, Linda, Schwartz, Michael K., Waples, Robin S., Ryman, Nils, Schwartz, Michael K, & Waples, Robin S. (2010). Compromising genetic diversity in the wild: Unmonitored large-scale release of plants and animals. Trends in Ecology & Evolution., 25(9), 520-529.",353,Authors describe cases of large scale species introduction and recommend monitoring for genetic effects on wild populations. ,Risk,Global,"Large-scale exploitation of wild animals and plants through fishing, hunting and logging often depends on augmentation through releases of translocated or captively raised individuals. Such releases are performed worldwide in vast numbers. Augmentation can be demographically and economically beneficial but can also cause four types of adverse genetic change to wild populations: (1) loss of genetic variation, (2) loss of adaptations, (3) change of population composition, and (4) change of population structure. While adverse genetic impacts are recognized and documented in fisheries, little effort is devoted to actually monitoring them. In forestry and wildlife management, genetic risks associated with releases are largely neglected. We outline key features of programs to effectively monitor consequences of such releases on natural populations."
9,"Waples, R. (1991). Genetic interactions Between Hatchery and Wild Salmonids: Lessons from the Pacific Northwest. Canadian Journal of Fisheries and Aquatic Sciences = Journal Canadien Des Sciences Halieutiques Et Aquatiques., 48(S1), 124-133.",296,Authors discuss strategies to reduce genetic risks from hatchery populations and suggest future research directions.,Risk,"Pacific Northwest, USA","The potential for genetic interactions between hatchery and wild populations of salmonids in northwestern North America has increased considerably in recent decades. Efforts to mitigate severe losses to many wild stocks caused by overfishing, destruction of habitat, and blockage of migratory routes have focussed on boosting artificial production in public hatcheries. Opportunities for genetic interactions between hatchery and wild fish will increase if efforts to supplement wild production with hatchery-reared fish continue. Concerns center on three issues: (1) direct genetic effects (caused by hybridization and introgression); (2) indirect genetic effects (principally due to altered selection regimes or reductions in population size caused by competition, predation, disease, or other factors); and (3) genetic changes to hatchery stocks (through selection, drift, or stock transfers), which magnify the consequences of hybridization with wild fish. Strategies for minimizing these genetic risks and monitoring the consequences of various management options are discussed, and some important areas for future research are identified."
10,"Fraser, D. (2008). How well can captive breeding programs conserve biodiversity? A review of salmonids. Evolutionary Applications., 1(4), 535-586.",300,Review of demonstrated success/failure associated with captive breeding programs and theoretical recommendations.,Neutral,N/A,"Captive breeding programs are increasingly being initiated to prevent the imminent extinction of endangered species and/or populations. But how well can they conserve genetic diversity and fitness, or re-establish self-sustaining populations in the wild? A review of these complex questions and related issues in salmonid fishes reveals several insights and uncertainties. Most programs can maintain genetic diversity within populations over several generations, but available research suggests the loss of fitness in captivity can be rapid, its magnitude probably increasing with the duration in captivity. Over the long-term, there is likely tremendous variation between (i) programs in their capacity to maintain genetic diversity and fitness, and (ii) species or even intraspecific life-history types in both the severity and manner of fitness-costs accrued. Encouragingly, many new theoretical and methodological approaches now exist for current and future programs to potentially reduce these effects. Nevertheless, an unavoidable trade-off exists between conserving genetic diversity and fitness in certain instances, such as when captive-bred individuals are temporarily released into the wild. Owing to several confounding factors, there is also currently little evidence that captive-bred lines of salmonids can or cannot be reintroduced as self-sustaining populations. Most notably, the root causes of salmonid declines have not been mitigated where captive breeding programs exist. Little research has also addressed under what conditions an increase in population abundance due to captive-rearing might offset fitness reductions induced in captivity. Finally, more empirical investigation is needed to evaluate the genetic/fitness benefits and risks associated with (i) maintaining captive broodstocks as either single or multiple populations within one or more facilities, (ii) utilizing cryopreservation or surrogate broodstock technologies, and (iii) adopting other alternatives to captive-rearing such as translocations to new habitats. Management recommendations surrounding these issues are proposed, with the aim of facilitating meta-analyses and more general principles or guidelines for captive-breeding. These include the need for the following: (i) captive monitoring to involve, a priori, greater application of hypothesis testing through the use of well-designed experiments and (ii) improved documentation of procedures adopted by specific programs for reducing the loss of genetic diversity and fitness."
